recency,history,used_discount,used_bogo,is_referral,channel,offer,score
2,84.89,0,1,0,Web,Buy One Get One,1.6273263264428717
11,229.37,0,1,1,Multichannel,Buy One Get One,1.6814722499343708
5,74.38,0,1,0,Phone,No Offer,1.1111287447682263
11,36.73,0,1,0,Web,No Offer,0.6816705177275383
11,113.59,0,1,1,Web,No Offer,1.8328745993239892
10,175.46,1,0,1,Web,Discount,0.3753758793446015
7,571.72,1,0,1,Phone,Discount,1.1583683789819357
2,256.75,1,0,0,Web,No Offer,1.5007947303320923
2,270.34,1,0,0,Web,Buy One Get One,0.6719094939972203
1,502.84,1,0,1,Multichannel,Buy One Get One,0.7554278585935591
10,124.09,1,0,1,Web,Discount,1.1322117381807812
3,96.15,1,0,0,Phone,No Offer,1.69780181922146
4,985.71,1,1,1,Phone,Buy One Get One,0.9577924808101764
10,210.52,1,1,0,Phone,No Offer,0.7007284432637851
2,474.59,1,1,0,Phone,Discount,1.9021935042200009
4,398.18,1,0,0,Phone,Discount,0.7829357840302819
2,174.71,1,0,1,Phone,No Offer,1.2649726975061086
10,113.41,0,1,0,Web,Buy One Get One,1.9416501923374376
8,73.01,0,1,0,Web,Discount,1.5515220093487467
10,141.42,1,0,1,Phone,Discount,0.9408042246572488
2,114.02,0,1,0,Web,No Offer,1.7497897142860401
2,96.49,1,0,0,Phone,No Offer,0.9657991038416164
11,335.05,1,0,1,Web,Buy One Get One,1.521550872355547
7,64.26,1,0,1,Phone,Discount,0.7164248494410335
10,31.82,0,1,0,Phone,Buy One Get One,2.415466347037569
8,314.56,1,0,0,Phone,Discount,0.3845814553833555
10,55.98,0,1,0,Phone,Buy One Get One,1.204346745400828
5,166.78,1,0,1,Phone,No Offer,0.5573794639519376
1,240.17,1,1,0,Multichannel,Buy One Get One,1.3545180093738076
6,33.34,1,0,0,Web,No Offer,1.4300809764222169
9,167.81,0,1,1,Phone,Discount,0.8073332623017284
11,83.74,0,1,0,Web,Buy One Get One,1.846056150461525
2,150.18,1,0,1,Phone,Discount,0.6594849959124498
1,165.84,0,1,0,Web,Discount,1.1735062346513574
9,122.33,0,1,0,Phone,Discount,1.7640230733627542
10,267.6,0,1,0,Phone,Discount,1.684527868932567
4,29.99,1,0,0,Phone,Buy One Get One,1.2421304088522267
5,244.46,0,1,0,Web,Buy One Get One,1.2348958891712891
7,48.25,1,0,1,Phone,Discount,1.036340909450874
7,38.9,0,1,1,Web,Buy One Get One,0.3967091119256153
7,178.41,1,0,0,Phone,Discount,0.8252681762638446
10,133.92,1,0,0,Web,No Offer,1.5709270569096412
10,265.29,1,0,1,Web,No Offer,0.7164834924255359
11,29.99,0,1,1,Web,Discount,0.20335155853592946
12,645.38,0,1,1,Phone,No Offer,0.9449508809006476
9,72.35,0,1,0,Web,Buy One Get One,1.2364074657145612
2,35.58,1,0,0,Web,No Offer,2.3778041231943288
5,155.21,1,0,0,Phone,No Offer,0.7367401583110651
8,29.99,0,1,0,Web,No Offer,1.5521768334500567
1,382.17,0,1,0,Web,No Offer,1.0728871497291368
3,57.56,0,1,1,Phone,Discount,0.9317828118393364
4,138.53,1,0,0,Phone,Discount,2.313883653287374
2,485.6,0,1,1,Web,Buy One Get One,1.745438463538291
6,29.99,0,1,1,Web,Discount,1.944901474715072
10,29.99,0,1,1,Web,Discount,0.5925860533937781
1,275.24,1,0,0,Web,Discount,0.8180543033109396
1,204.57,1,1,0,Phone,Discount,2.3755610477389157
7,189.35,1,0,0,Web,Buy One Get One,0.7462182865560859
2,47.04,1,0,0,Phone,Discount,1.5229528847995968
3,127.94,0,1,1,Phone,Buy One Get One,2.1618029358649027
2,36.97,1,0,1,Phone,No Offer,1.4319002518382729
10,30.82,1,0,0,Web,Buy One Get One,1.6042031214095795
6,90.24,0,1,1,Phone,Buy One Get One,1.3715325083914705
3,29.99,0,1,0,Web,Discount,2.7464291961503418
3,29.99,1,0,0,Web,No Offer,0.9054805611027876
4,425.21,1,1,1,Phone,Discount,1.863229640763211
3,72.81,1,0,0,Web,Buy One Get One,0.8579375376971579
3,53.86,1,0,1,Phone,No Offer,1.2489523242105487
3,384.5,0,1,0,Web,No Offer,1.3454102775249428
5,150.06,1,0,1,Web,Buy One Get One,1.9910108860851208
7,204.07,1,0,0,Multichannel,Discount,0.4179475479176104
5,1134.71,0,1,1,Phone,No Offer,0.8243343220627015
7,438.83,1,1,1,Multichannel,Buy One Get One,1.3693456988167645
2,496.92,0,1,0,Multichannel,Discount,1.0287147836310522
9,171.74,1,0,0,Web,Buy One Get One,0.7193670334522109
4,166.81,0,1,0,Web,Discount,0.1262214166867046
2,472.82,0,1,0,Web,No Offer,1.9306139589416471
2,811.33,0,1,1,Phone,No Offer,-0.08250590292109128
9,413.92,1,0,1,Phone,Buy One Get One,0.6782488280635569
1,91.78,0,1,1,Phone,Buy One Get One,1.0232076788182851
10,29.99,1,0,1,Phone,Buy One Get One,1.4502650081454136
6,40.25,0,1,0,Phone,Discount,1.4986034618790198
12,169.3,0,1,0,Phone,No Offer,1.2197576342076364
6,470.12,0,1,0,Phone,No Offer,0.8214497937576062
3,397.19,0,1,0,Multichannel,Buy One Get One,1.731662505839973
6,32.44,0,1,1,Web,Buy One Get One,1.8648372929971813
10,855.96,1,0,1,Phone,Discount,1.5094389470428269
